,Name,Industry,Sector,Headquarters,Founded,Notes,Status_Type,Status_State
419,Terumo Penpol,Health care,Medical equipment,Thiruvananthapuram,1987,"Blood bag manufacturer, medical electronics, subsidiary of Terumo (Japan)",P,A
420,Texmaco Rail & Engineering,Industrials,Railroad equipment,Kolkata,1939,Rail engineering,P,A
421,The Muthoot Group,Conglomerate,—,Kochi,1887,"Financials, travel & leisure, healthcare, real estate",P,A
422,Thermax,Industrials,Electrical equipment & components,Pune,1980,Energy engineering,P,A
423,Thyrocare,Health care,Health care facilities,Navi Mumbai,1996,"Diagnostic, preventive care laboratories",P,A
424,The Times Group,Consumer services,Broadcasting & entertainment,Mumbai,1838,Media conglomerate,P,A
425,Titagarh Rail Systems,Industrials,Railroad equipment,Kolkata,1984,Rail industry,P,A
426,Titan Company,Consumer goods,Clothing & accessories,Bengaluru,1984,"Watches, luxury products",P,A
427,Torque Pharmaceuticals,Health care,Pharmaceuticals,Mohali,1985,Nutrition supplements,P,A
428,Torrent Group,Conglomerate,—,Ahmedabad,1959,"Health care, industrials",P,A
429,Toyota Kirloskar Motor,Consumer goods,Automobiles,Bengaluru,1997,"Automotive, joint venture of Kirloskar Group & Toyota (Japan)",P,A
430,Tractors and Farm Equipment Limited,Industrials,Agricultural & farm machinery,Chennai,1960,Tractors,P,A
431,TradeIndia,Technology,Consumer digital services,New Delhi,1996,Portal,P,A
432,Travancore Cochin Chemicals,Chemicals,Chemicals: diversified,Kochi,1961,Chemicals,S,A
433,Travancore Titanium Products,Chemicals,Specialty chemicals,Thiruvananthapuram,1946,Titanium dioxide,S,A
434,Troop Comforts,Industrials,Defense,Kanpur,2021,Military clothing & equipment,S,A
435,TTK Prestige,Consumer goods,Durable household products,Chennai,1955,Cookware,P,A
436,TVS Motor Company,Consumer goods,Automobiles,Chennai,1978,Motorcycles,P,A
437,UCO Bank,Financials,Banks,Kolkata,1943,State bank,S,A
438,UltraTech Cement,Industrials,Cement,Mumbai,1983,Cement,P,A
439,Union Bank of India,Financials,Banks,Mumbai,1919,State bank,S,A
440,Unitech Group,Real estate,Real estate holding & development,New Delhi,1972,Real estate development,P,A
441,United Breweries Group,Conglomerate,—,Bengaluru,1857,"Food & beverage, engineering, financials, part of Heineken (Netherlands)",P,A
442,UPL,Chemicals,Specialty chemicals,Mumbai,1969,Chemicals,P,A
443,USV,Health care,Pharmaceuticals,Navi Mumbai,1961,Pharma,P,A
444,V-Guard Industries,Consumer goods,Consumer electronics,Kochi,1977,"Electrical goods, home appliances",P,A
445,VA Tech Wabag,Utilities,Water,Chennai,1924,Water treatment,P,A
446,Vadilal,Conglomerate,—,Ahmedabad,1907,"Chemicals, food & beverage, financials",P,A
447,Vedanta Limited,Conglomerate,—,New Delhi,1979,"Mining, oil & gas, utility, steel, part of Vedanta Resources (UK)",P,A
448,Vicco Group,Health care,Ayurvedic producers,Mumbai,1952,Alternative medicines,P,A
449,Videocon Group,Conglomerate,—,Mumbai,1979,"Industrials, consumer goods, oil & gas, owned by Vedanta Resources (UK)",P,A
450,Vijaya Bank,Financials,Banks,Bengaluru,1931,State bank,S,A
451,VIP Industries,Consumer goods,Recreational products,Mumbai,1971,Luggage,P,A
452,Vodafone Idea,Telecommunications,Telecommunications services,Mumbai,1995,"Mobile network, joint venture of Aditya Birla Group & Vodafone (UK)",P,A
453,Voltas,Consumer goods,Consumer electronics,Mumbai,1954,Home appliances,P,A
454,Voonik,Technology,Consumer digital services,Bengaluru,2013,Online marketplace,P,A
455,VST Industries,Consumer goods,Tobacco,Hyderabad,1930,Tobacco,P,A
456,Wadia Group,Conglomerate,—,Mumbai,1736,"Chemicals, industrials",P,A
457,Walchandnagar Industries,Conglomerate,—,Mumbai,1908,"Energy, transportation, nuclear industry",P,A
458,WAPCOS Limited,Industrials,Engineering and contracting services,New Delhi,1969,Engineering & consultancy,P,A
459,Welspun Corp,Industrials,Diversified industrials,Mumbai,1995,Part of Welspun World,P,A
460,Welspun Energy,Utilities,Alternative electricity,New Delhi,2002,"Solar power generation, part of Welspun World",P,A
461,Welspun Living,Basic materials,Textile products,Mumbai,1985,"Textiles, part of Welspun World",P,A
462,Welspun World,Conglomerate,—,Mumbai,1985,"Steel, energy, investments, retail",P,A
463,West Bengal Electronics Industry Development Corporation,Industrials,Electronic equipment & components,Kolkata,1974,"Capacitors, driven equipment, picture tubes, telephone exchanges",S,A
464,West Bengal State Co-Operative Bank,Financials,Banks,Kolkata,1918,State bank,S,A
465,Wipro,Industrials,Business support services,Bengaluru,1945,"Consulting, BPO",P,A
466,XOLO,Consumer goods,Consumer electronics,Noida,2012,Mobile handsets,P,A
467,Yantra India,Industrials,Defense,Nagpur,2021,Defence equipment,S,A
468,Yatra,Consumer services,Travel & tourism,Gurugram,2006,Travel agency,P,A
469,Yebhi,Technology,Consumer digital services,Gurugram,2009,E-commerce,P,A
470,Yepme,Technology,Consumer digital services,Gurugram,2011,E-commerce,P,A
471,Yes Bank,Financials,Banks,Mumbai,2004,Private bank,P,A
472,Zandu Realty,Health care,Ayurvedic producers,Mumbai,1910,"Alternative medicines, part of Emami",P,A
473,Zee Entertainment Enterprises,Consumer services,Broadcasting & entertainment,Mumbai,1992,Broadcaster,P,A
474,Zee News,Consumer services,Broadcasting & entertainment,Mumbai,1999,News channel,P,A
475,Zensar Technologies,Technology,Software & IT services,Pune,1991,IT services and software,P,A
476,Zeta,Technology,Consumer digital services,Mumbai,2015,Fintech,P,A
477,Zoho Corporation,Technology,Software,Chennai,1996,Business management software,P,A
478,Zomato,Technology,Consumer digital services,Gurugram,2008,Food delivery,P,A
479,Zydus Lifesciences,Health care,Pharmaceuticals,Ahmedabad,1952,Pharma,P,A
